0.000878, -0.00110
0.00154, -0.00263
0.00210, -0.00440
0.00326, -0.00637
0.00394, -0.00785
0.00527, -0.00948
0.00624, -0.0115
0.00756, -0.0133
0.00915, -0.0152
0.0104, -0.0169
0.0119, -0.0186
0.0137, -0.0206
0.0154, -0.0226
0.0174, -0.0243
0.0194, -0.0259
0.0217, -0.0275
0.0242, -0.0291
0.0269, -0.0308
0.0301, -0.0324
0.0335, -0.0338
0.0369, -0.0350
0.0402, -0.0361
0.0436, -0.0369
0.0470, -0.0376
0.0503, -0.0383
0.0537, -0.0388
0.0571, -0.0391
0.0604, -0.0397
0.0638, -0.0401
0.0672, -0.0402
0.0705, -0.0405
0.0739, -0.0408
0.0773, -0.0410
0.0807, -0.0412
0.0840, -0.0413
0.0874, -0.0413
0.0908, -0.0414
0.0941, -0.0415
0.0975, -0.0416
0.0996, -0.0418
